Mouse 	Cage	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat630	Weight_D42	Weight_D43	Weight_D44	Experiment 
714_4	714	female	no	WT	630_VPI 	630	VPI	cleared	19.2	18.3	18	2013
715_1	715	female	no	WT	630_Mock	630	mock	colonized 	19.5	18.8	19.5	2013
715_2	715	female	no	WT	630_Mock	630	mock	colonized 	20	19.1	19.8	2013
715_3	715	female	no	WT	630_VPI 	630	VPI	colonized 	19.6	19.1	20.5	2013
715_4	715	female	no	WT	630_VPI 	630	VPI	colonized 	19.2	18.5	19.2	2013
715_5	715	female	no	WT	630_VPI 	630	VPI	colonized 	19.8	19.2	20.5	2013
124_1	124	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged  	20.2	NA	16.7	2015
124_2	124	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged  	20.1	NA	17.3	2015
124_3	124	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged  	19.8	NA	17.3	2015
1157_1	1157	female	yes	WT	Naive_VPI	mock	VPI	unchallenged  	21.4	NA	21.2	2015
1157_2	1157	female	yes	WT	Naive_VPI	mock	VPI	unchallenged  	21.1	NA	18.9	2015
126_1	126	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged  	27.3	NA	26.8	2015
126_2	126	male	yes	RAG	Naive_VPI	mock	VPI	unchallenged  	29.4	NA	23.8	2015
1188_4	1188	male	yes	WT	Naive_VPI	mock	VPI	unchallenged  	23.4	NA	21.8	2015
1188_5	1188	male	yes	WT	Naive_VPI	mock	VPI	unchallenged  	24	NA	22.4	2015
127_1	127	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged  	19.6	NA	17.8	2015
127_2	127	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged  	19.6	NA	16.3	2015
127_3	127	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged  	20.5	NA	18.6	2015
127_4	127	female	yes	RAG	Naive_VPI	mock	VPI	unchallenged  	19.8	NA	16.6	2015
1167_1	1167	female	yes	WT	Naive_VPI	mock	VPI	unchallenged  	22.5	NA	20	2015
1167_2	1167	female	yes	WT	Naive_VPI 	mock	VPI	unchallenged  	23.7	NA	19	2015
1167_3	1167	female	yes	WT	Naive_VPI 	mock	VPI	unchallenged  	19.6	NA	17.1	2015
1167_4	1167	female	yes	WT	Naive_VPI 	mock	VPI	unchallenged  	21.7	NA	20	2015
125_1	125	female	yes	RAG	630_VPI 	630	VPI	colonized	19.5	NA	20.4	2015
125_2	125	female	yes	RAG	630_VPI 	630	VPI	colonized 	19.4	NA	19.2	2015
125_3	125	female	yes	RAG	630_VPI 	630	VPI	colonized 	18.7	NA	19.1	2015
1187_3	1187	female	yes	WT	630_VPI 	630	VPI	colonized 	21.7	NA	23.6	2015
1187_4	1187	female	yes	WT	630_VPI 	630	VPI	colonized 	24.5	NA	22.4	2015
1187_5	1187	female	yes	WT	630_VPI 	630	VPI	colonized 	23	NA	20.8	2015
161_3	161	male	yes	WT	630_VPI 	630	VPI	colonized 	31.4	NA	30.2	2015
161_4	161	male	yes	RAG	630_VPI 	630	VPI	colonized 	26.7	NA	25	2015
1158_1	1158	male	yes	WT	630_VPI 	630	VPI	colonized 	25	NA	25	2015
1158_2	1158	male	yes	WT	630_VPI 	630	VPI	colonized 	25.9	NA	26	2015
1158_3	1158	male	yes	RAG	630_VPI 	630	VPI	colonized 	27	NA	28.6	2015
